age,gender,income,education,region,loyalty_status,purchase_frequency,purchase_amount,product_category,promotion_usage,satisfaction_score,Cluster
19,0,6378,Masters,South,Regular,rare,3024,Books,1,5,0
30,1,20232,College,South,Silver,occasional,6721,Electronics,0,7,3
26,0,11959,College,North,Silver,occasional,4868,Electronics,0,6,3
34,1,18059,College,West,Regular,rare,7386,Electronics,0,4,0
31,0,12968,College,North,Silver,rare,5024,Books,0,6,3
31,0,33024,Bachelor,West,Regular,occasional,8261,Food,0,4,2
28,1,45160,College,North,Regular,occasional,18411,Health,1,5,2
27,1,29637,College,East,Regular,rare,12976,Home,1,5,2
33,1,11744,Bachelor,West,Regular,occasional,2865,Food,0,3,0
30,0,42650,College,South,Silver,frequent,15210,Food,0,7,1
28,1,43884,College,West,Regular,rare,16697,Beauty,0,6,2
33,0,20316,HighSchool,South,Regular,rare,5854,Food,1,4,0
35,0,12141,College,East,Silver,occasional,5063,Electronics,0,5,3
29,0,25050,Bachelor,East,Regular,occasional,8758,Books,0,6,0
35,0,12330,College,West,Regular,rare,4435,Electronics,1,4,0
38,1,10832,Bachelor,West,Silver,rare,3446,Electronics,0,5,3
24,0,8854,Bachelor,East,Silver,frequent,3085,Electronics,0,4,3
23,0,39035,Bachelor,North,Silver,rare,10164,Electronics,0,4,1
25,0,31436,HighSchool,East,Silver,frequent,13801,Electronics,0,7,1
31,0,22708,HighSchool,West,Regular,frequent,8257,Home,0,5,0
32,1,7941,HighSchool,North,Silver,rare,2478,Books,1,4,3
33,1,29765,HighSchool,North,Regular,rare,9368,Health,0,5,2
39,0,48899,HighSchool,South,Regular,rare,18927,Clothing,0,5,2
34,1,23819,Bachelor,North,Gold,occasional,8466,Electronics,1,5,4
32,0,29043,College,West,Silver,rare,9858,Books,1,3,1
27,0,43933,Bachelor,West,Regular,rare,15774,Clothing,1,5,2
32,1,49407,College,West,Regular,frequent,20655,Food,0,5,2
26,1,23384,HighSchool,East,Regular,rare,8932,Home,0,5,0
28,1,27401,Bachelor,South,Regular,rare,9157,Books,1,6,0
30,1,49283,College,East,Silver,rare,16312,Electronics,0,5,1
27,0,42489,College,North,Regular,occasional,18361,Electronics,0,5,2
28,1,7086,Bachelor,West,Regular,rare,2438,Electronics,0,4,0
25,1,41441,Bachelor,West,Silver,rare,13018,Clothing,0,5,1
32,0,31896,Bachelor,East,Silver,frequent,9280,Electronics,0,5,1
38,1,35509,College,North,Gold,frequent,11746,Health,0,5,4
32,1,7556,College,East,Regular,occasional,3333,Clothing,0,6,0
28,0,45214,Bachelor,West,Silver,rare,16508,Health,0,3,1
18,0,41023,College,East,Silver,occasional,13396,Food,1,5,1
33,1,23722,College,South,Regular,occasional,9301,Food,1,7,0
35,1,38636,Bachelor,North,Regular,rare,13031,Food,1,4,2
29,1,19450,College,North,Regular,rare,5273,Home,1,6,0
21,0,46102,College,South,Regular,rare,16690,Clothing,0,6,2
32,1,15573,College,West,Gold,rare,5184,Electronics,0,7,4
38,0,17206,HighSchool,West,Silver,frequent,6384,Electronics,0,5,3
36,1,15310,College,South,Gold,frequent,4476,Clothing,1,4,4
34,0,27287,College,West,Silver,rare,11124,Clothing,1,6,3
29,0,12275,College,South,Gold,rare,5822,Clothing,0,4,4
38,1,10535,Bachelor,West,Regular,occasional,3474,Clothing,1,5,0
28,0,30699,Bachelor,West,Regular,occasional,11940,Clothing,0,4,2
34,0,14170,College,East,Regular,rare,4437,Clothing,1,5,0
31,0,19371,HighSchool,North,Regular,occasional,7279,Electronics,1,5,0
25,1,39987,College,West,Regular,occasional,10182,Food,0,6,2
34,0,18530,College,East,Regular,rare,6206,Electronics,1,6,0
31,1,17788,Bachelor,East,Silver,occasional,5832,Electronics,1,7,3
31,1,24156,Masters,East,Regular,rare,7821,Electronics,0,7,0
30,1,31820,College,South,Regular,frequent,13976,Home,1,5,2
30,1,32724,College,West,Silver,frequent,14382,Electronics,1,3,1
35,0,20548,College,West,Regular,rare,6926,Clothing,0,6,0
21,1,18744,Bachelor,West,Regular,occasional,7205,Electronics,1,4,0
36,1,5863,Bachelor,South,Regular,rare,1889,Clothing,0,4,0
29,0,17569,College,South,Regular,occasional,6231,Electronics,0,7,0
36,1,28447,College,West,Silver,rare,11106,Books,1,6,1
27,1,37785,College,East,Silver,rare,14174,Clothing,1,5,1
32,1,25928,College,East,Regular,rare,10562,Electronics,1,4,0
31,0,39407,College,South,Silver,rare,14202,Food,0,5,1
44,0,18564,Masters,West,Silver,frequent,5677,Food,1,6,3
37,0,40967,College,West,Regular,rare,17386,Electronics,0,5,2
35,1,40264,College,East,Gold,rare,12842,Health,0,5,4
33,1,29340,College,North,Silver,occasional,8935,Electronics,0,5,1
24,0,39157,Bachelor,East,Silver,frequent,19133,Electronics,0,5,1
23,0,44824,College,West,Regular,rare,12727,Food,1,4,2
29,1,20530,College,South,Regular,occasional,8697,Beauty,1,7,0
25,1,23864,College,North,Regular,occasional,8122,Clothing,0,4,0
35,0,21621,Bachelor,South,Regular,rare,8186,Books,0,5,0
30,0,43074,Bachelor,South,Regular,occasional,16317,Food,0,6,2
29,0,38337,Masters,West,Regular,rare,14177,Books,0,5,2
33,1,33733,HighSchool,West,Regular,frequent,12072,Electronics,0,3,2
28,0,7218,College,East,Regular,rare,2757,Clothing,0,3,0
33,0,37860,College,North,Regular,occasional,12613,Clothing,1,5,2
36,1,23698,HighSchool,West,Regular,rare,8626,Books,0,5,0
28,1,29041,College,South,Regular,rare,10532,Electronics,0,5,2
31,1,17783,College,East,Regular,occasional,6152,Health,0,8,0
22,1,37209,College,West,Regular,occasional,12258,Clothing,0,4,2
22,0,22889,Bachelor,North,Silver,rare,8590,Books,1,7,3
32,0,31516,HighSchool,West,Regular,rare,10740,Books,0,3,2
36,1,30404,Bachelor,North,Regular,frequent,11146,Health,1,5,2
29,1,20915,College,South,Silver,occasional,6298,Electronics,1,6,3
28,1,21818,HighSchool,East,Gold,occasional,8093,Clothing,1,5,4
